"FA" "MA" "Math" "SCIE" "READ"
"147598" NA 1 377.872 414.342 337.794
"147599" NA NA 387.294 454.532 427.822
"147600" NA NA 406.068 452.576 326.012
"147601" 1 NA 396.954 395.13 379.564
"147602" NA NA 362.136 406.51 434.2
"147603" NA NA 477.342 552.816 439.126
"147604" 0 NA 453.504 446.232 352.386
"147605" NA NA 391.346 399.048 374.698
"147606" 0 0 214.84 259.55 257.05
"147607" NA NA 434.5 513.928 483.136
"147608" 1 1 497.984 566.806 514.91
"147609" 0 1 388.308 433.272 421.174
"147610" 0 0 379.352 452.944 484.802
"147611" 1 0 483.184 532.394 505.858
"147612" 1 0 457.402 460.314 434.556
"147613" 0 0 304.028 307.666 297.312
"147614" NA NA 412.848 407.254 346.534
"147615" NA 0 458.258 518.22 441.37
"147616" 0 0 466.124 500.036 421.648
"147617" NA NA 482.17 515.982 433.436
"147618" NA NA 456.154 523.536 483.86
"147619" NA NA 428.192 422.826 429.196
"147620" NA NA 396.798 377.322 362.326
"147621" 0 1 311.972 290.974 339.586
"147622" NA NA 351.932 357.274 353.668
"147623" 0 0 410.896 408.84 372.428
"147624" 0 0 452.568 425.904 431.192
"147625" 0 1 525.556 522.976 530.64
"147626" 1 1 508.5 485.586 508.478
"147627" 1 1 502.814 551.976 546.846
"147628" 1 1 532.646 479.336 447.062
"147629" 0 0 491.126 435.416 429.512
"147630" 0 0 601.192 599.718 615.88
"147631" 0 0 537.63 529.878 560.67
"147632" 0 0 497.28 433.922 392.63
"147633" 0 0 495.022 448.286 483.93
"147634" 1 1 428.422 421.708 385.816
"147635" 0 0 534.746 536.87 531.83
"147636" NA NA 436.834 383.382 395.596
"147637" NA NA 474.614 447.354 410.104
"147638" NA NA 360.498 327.902 366.518
"147639" NA 1 370.472 385.436 432.93
"147640" 1 1 470.332 454.252 412.43
"147641" 1 0 493.154 455.464 462.876
"147642" 0 0 432.318 441.198 408.342
"147643" NA NA 346.012 452.014 393.208
"147644" 0 0 395.864 455.184 352.142
"147645" NA NA 506.786 579.486 467.104
"147646" NA NA 509.666 546.942 422.374
"147647" NA NA 330.746 386.742 261.232
"147648" NA NA 410.12 464.322 314.386
"147649" 1 1 473.756 524.56 358.478
"147650" NA NA 405.134 519.992 440.716
"147651" 1 1 394.306 498.078 388.38
"147652" NA 1 389.866 507.962 430.23
"147653" NA 0 438.236 503.954 464.626
"147654" NA 1 413.39 441.198 370.582
"147655" NA NA 355.05 450.522 400.28
"147656" NA NA 388.62 464.882 382.882
"147657" NA NA 375.922 441.104 327.532
"147658" NA 0 336.974 386.366 296.912
"147659" NA NA 450.39 531.464 432.634
"147660" NA NA 354.89 414.62 361.91
"147661" NA NA 356.836 437.562 357.434
"147662" NA NA 369.692 454.814 405.444
"147663" 0 0 368.366 426.184 410.846
